Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"International tourism, receipts (current US$)",193000000,264000000,251000000,383000000,426000000,363000000,473000000,542000000,484000000,512000000,473000000,520000000,635000000,361000000,552000000,540000000
"International tourism, number of departures",,,,,,,,,,,,,,,,
"International tourism, number of arrivals",656000,670000,757000,695000,716000,778000,833000,929000,931000,980000,984000,1027000,1079000,1176000,1320000,1388000
Unmet need for contraception (% of married women ages 15-49),23.9,,,,,,,20.7,,,,,,17.5,,
Urban population (% of total population),32.373,32.898,33.766,34.709,35.666,36.632,37.61,38.598,39.597,40.601,41.616,42.637,43.693,44.756,45.826,46.9
Urban population,580956,599952,625185,652223,680416,710045,741412,774474,809123,844925,881791,919553,958967,999630,1041822,1085690
Urban population growth (annual %),3.35166479440393,3.21746295292574,4.11979539210686,4.23389220524262,4.23178478348204,4.26239724843152,4.32281278718611,4.3627613067779,4.37668558084099,4.32969209648972,4.27072004541901,4.19326159292611,4.19689810417371,4.15285470685062,4.13411718698622,4.12446261627695
Rural population (% of total population),67.627,67.102,66.234,65.291,64.334,63.368,62.39,61.402,60.403,59.399,58.384,57.363,56.307,55.244,54.174,53.1
Rural population growth (annual %),0.95734124881417,0.829189085435975,0.213709307812579,0.0453279599744119,0.0354491017772388,0.0770482575202617,0.132618460722894,0.173440148760418,0.180918027655888,0.149612032489597,0.0779556258501586,0.00525415775770448,-0.107644073290315,-0.156861379932327,-0.184304335947217,-0.194569193159884
Rural population,1213615,1223720,1226338,1226894,1227329,1228275,1229905,1232040,1234271,1236119,1237083,1237148,1235817,1233880,1231608,1229214
Completeness of death registration with cause-of-death information (%),,,,,,,,,,,,,,,,
Completeness of birth registration (%),,,,,,,,67.1,,,,78,,63.9,,
"Completeness of birth registration, urban (%)",,,,,,,82.5,82.5,,,,,,78,,
"Completeness of birth registration, rural (%)",,,,,,,,59.3,,,,,,54.9,,
"Completeness of birth registration, male (%)",,,,,,,,65.7,,,,,,65.4,,
"Completeness of birth registration, female (%)",,,,,,,,68.5,,,,,,62.5,,
"Population, male (% of total population)",48.2172181504004,48.2154362611157,48.2160323496545,48.2199314250926,48.2272451601033,48.2379550083681,48.2524382164623,48.2704349230208,48.2901386035504,48.3099067340881,48.3281946049723,48.3444599104742,48.3592182713779,48.3733197940816,48.387235828217,48.4016379102173
"Population, male",865292,879291,892731,906109,920053,935006,951209,968553,986758,1005350,1024014,1042645,1061380,1080423,1100050,1120451
"Population, female (% of total population)",51.7827818495996,51.7845637388844,51.7839676503455,51.7800685749074,51.7727548398967,51.7620449916319,51.7475617835377,51.7295650769792,51.7098613964496,51.6900932659119,51.6718053950276,51.6555400895257,51.6407817286221,51.6266802059184,51.612764171783,51.5983620897827
"Population, female",929279,944381,958792,973008,987692,1003314,1020108,1037961,1056636,1075694,1094860,1114056,1133404,1153087,1173380,1194453
"Population, total",1794571,1823672,1851523,1879117,1907745,1938320,1971317,2006514,2043394,2081044,2118874,2156701,2194784,2233510,2273430,2314904
Technicians in R&D (per million people),,,,,,,,,,,,,,,63.39119,
Researchers in R&D (per million people),,,,,,,,,,,,,,,143.31554,
Population growth (annual %),1.72619737442919,1.60860547589892,1.51564927342608,1.47934420015719,1.51199306394961,1.58997022213466,1.68802287863985,1.76970407207562,1.82132628640183,1.82575399806862,1.8015124638949,1.76949238391963,1.7503896870988,1.74907028597998,1.77153651995332,1.80785137184809
"Age dependency ratio, young (% of working-age population)",76.7641921219574,75.5111001371961,74.0273873396824,72.408728573331,70.8361372500177,69.4322680032191,67.8645343034588,66.6903574893262,65.7606156336682,64.8842782606972,63.9955665986965,63.6926874030946,63.2017098915055,62.6772764755102,62.3171805382549,62.1786697875363
"Age dependency ratio, old (% of working-age population)",5.91240014006857,6.05683780000438,6.19826424850292,6.3402964062173,6.48401860437448,6.62786958804369,6.71173688298186,6.79857440042332,6.88735096881361,6.9718776271304,7.04993146471765,6.91619466506344,6.7639838613501,6.60394661848344,6.44832506120583,6.30345799344385
Age dependency ratio (% of working-age population),82.6765922620259,81.5679379372004,80.2256515881854,78.7490249795484,77.3201558543921,76.0601375912628,74.5762711864407,73.4889318897495,72.6479666024818,71.8561558878276,71.0454980634141,70.6088820681581,69.9656937528556,69.2812230939937,68.7655055994608,68.4821277809802
Sex ratio at birth (male births per female births),,,1.008,,,,,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.01,1.01
"Population ages 80 and above, male (% of male population)",0.23494796012472,0.260665151048176,0.287769300650029,0.317953619164183,0.349763979961937,0.380640082823175,0.410319919176543,0.434358848345059,0.455028213776106,0.472274277165718,0.484953833684077,0.498923889649775,0.49869179377356,0.484625900459173,0.457343679548529,0.416886072560132
"Population ages 80 and above, female (% of female population)",0.483489994996153,0.525848759712742,0.571032238550673,0.623120515186957,0.679364333676222,0.737258200838822,0.787072753990015,0.832978471273515,0.878169274012663,0.923034588929349,0.965235801406936,0.975266908067293,0.967178401270514,0.943122146242472,0.906101869985631,0.857716222766778
"Population ages 75-79, male (% of male population)",0.460534983323664,0.494717891387246,0.52681160800198,0.553577005806158,0.573230338818911,0.588767534684344,0.600919461443279,0.610807451107527,0.61737903748865,0.623366237362585,0.631729027406825,0.613632265663064,0.596677712066495,0.580699560634234,0.565338967026893,0.550939354723549
"Population ages 75-79, female (% of female population)",0.712806082095374,0.758912215235849,0.803721357127212,0.840796459631287,0.868290391297657,0.889454127928302,0.910098822772861,0.927105231212704,0.93845527762793,0.94766991636074,0.959572987280589,0.934335319472845,0.917240162343392,0.905917603645872,0.897153347003267,0.889864883532267
"Population ages 70-74, male (% of male population)",0.823646882345735,0.83669874182436,0.847625651233465,0.859611502835758,0.8752794688109,0.894541627629401,0.903481779503768,0.9121845555333,0.922420223115839,0.935795366380596,0.952818073953995,0.933875800369062,0.918052680621494,0.902796224804961,0.884325047634285,0.861975099290464
"Population ages 70-74, female (% of female population)",1.14690326433764,1.16192880393232,1.17366680920744,1.18694026552765,1.20432768242603,1.22534166839428,1.23663255593275,1.24850428050353,1.26297757966365,1.28047924543387,1.30016385626682,1.2775861852298,1.26098464796188,1.24752294930556,1.23370303516855,1.21880261308333
Population ages 65 and above (% of total population),3.23653954064788,3.33585206111625,3.43916872758264,3.54703831640074,3.65667319269609,3.76454868133229,3.84458714656243,3.91873667465066,3.98924534377609,4.05680994731491,4.12167028336749,4.05383600300088,3.97961894182705,3.90117250531451,3.82089034904635,3.74132145436701
"Population ages 65 and above, total",58082,60835,63677,66653,69760,72969,75789,78630,81516,84424,87333,87429,87344,87133,86865,86608
"Population ages 65 and above, male (% of male population)",2.63851297472085,2.721858228637,2.80835505511751,2.89910573475318,2.99266669492603,3.08629695701837,3.15104251536728,3.20963002579102,3.26404202879751,3.31497153224555,3.36303667426747,3.30007174069002,3.22712853208615,3.14479263176114,3.05259406862246,2.9519389530992
"Population ages 65 and above, male",22831,23933,25071,26269,27534,28857,29973,31087,32208,33327,34438,34408,34252,33977,33580,33075
"Population ages 65 and above, female (% of female population)",3.79345410718994,3.90796905476409,4.02642914506826,4.15053966779239,4.27513546788054,4.39613998437176,4.49148081234456,4.58061085087893,4.66587168639921,4.74987705577159,4.83147647831416,4.75928455891725,4.68440091759308,4.61006777470872,4.54124757750699,4.4818079603098
"Population ages 65 and above, female",35252,36906,38605,40385,42225,44107,45818,47545,49301,51094,52898,53021,53093,53158,53286,53533
"Population ages 65-69, male (% of male population)",1.11938314892673,1.12977644437722,1.14614849523204,1.16796360694708,1.19439290733428,1.22234771188145,1.23632135524369,1.25227917080514,1.26921455441692,1.28353565133665,1.29353573922257,1.25363978500811,1.2137063456246,1.17667094586277,1.14558637441275,1.12213842652506
"Population ages 65-69, female (% of female population)",1.45025476576077,1.46127927588317,1.47800874018294,1.49968242744649,1.52315306048064,1.54408598721036,1.55767667964894,1.57202286788919,1.58626955509497,1.59869330504764,1.60650383335982,1.57209614614731,1.53899770601729,1.51350507551482,1.50428932534955,1.51542424092742
"Population ages 60-64, male (% of male population)",1.4262138592716,1.45321958991867,1.48555720717037,1.51814300077143,1.54285260893713,1.55550136683907,1.55696592441829,1.55117835453676,1.54354893630821,1.54016320716807,1.54236021933272,1.51154181101124,1.49061078203127,1.48062653354572,1.48311710034471,1.49895131420411
"Population ages 60-64, female (% of female population)",1.7651204958651,1.79102012118029,1.81812492829504,1.84007087314981,1.85190060018953,1.8535610059483,1.86519283723602,1.86548255138435,1.8613895119389,1.86494076830614,1.88334237556879,1.90529363926704,1.94979707076054,2.00731082270605,2.06531910432955,2.11678838227772
"Population ages 55-59, male (% of male population)",1.81544392798781,1.8288640026203,1.83336712484976,1.83157176801415,1.82990253779962,1.83432370342801,1.85774104324076,1.88032882007611,1.89946410040213,1.92042954280508,1.95114329379941,1.97814402614891,2.02095956479178,2.07271054524116,2.12499818189752,2.1732339684948
"Population ages 55-59, female (% of female population)",2.19340675895985,2.19837819178338,2.19683142293933,2.1971087536973,2.21132584378873,2.24695807485608,2.30416553525163,2.37041433116049,2.43746628431901,2.49727849354508,2.54917971397309,2.59664253258819,2.64152108699488,2.68375705173513,2.72384517180312,2.7618546093561
"Population ages 50-54, male (% of male population)",2.20571410080689,2.2227049354649,2.25174717075395,2.29365847521319,2.34324476196376,2.39453521054455,2.44131415913853,2.49516289231163,2.56183924633545,2.64286595288398,2.73521383964102,2.78561042887122,2.83904776530865,2.88822597857687,2.92459965383329,2.94497746441162
"Population ages 50-54, female (% of female population)",2.65386829659362,2.70537856663328,2.78465565973779,2.88209939095956,2.9777622083087,3.05677595802701,3.1020214506489,3.13518221283631,3.16922669240889,3.2164441275422,3.27904338628978,3.31653582321862,3.35742015175578,3.3947193832198,3.41859145134816,3.42567422188102
"Population ages 45-49, male (% of male population)",2.82457604201096,2.88596809467649,2.95464805108829,3.02646376200603,3.09559599543068,3.15570842477679,3.24891795599074,3.34798059788096,3.44990433259826,3.54772675730195,3.6311968086405,3.63345494723031,3.62331198056864,3.61340625552447,3.62111471499425,3.65531706010978
"Population ages 45-49, female (% of female population)",3.47966447322404,3.5439199134245,3.59745095380636,3.64283467933394,3.6852730821879,3.72456424322643,3.78675220001,3.85601785036447,3.92720252122313,3.99213156938191,4.04343195763485,4.0317614765532,4.00944062113993,3.98556914711405,3.97365554833992,3.98107582479315
"Population ages 40-44, male (% of male population)",3.76205654005903,3.85129348826154,3.93770113886745,4.0129918431267,4.06847896144662,4.10372575946199,4.21158756908314,4.28804176122343,4.33959090024647,4.38693865208863,4.44563800334956,4.50623606907056,4.599496691562,4.70659122693839,4.80088141608366,4.87000758623767
Children out of school (% of primary school age),,,,,,,,,,,,,,,,
"Children out of school, male (% of male primary school age)",,,,,,,,,,,,,,,,
"Children out of school, primary, male",,,,,,,,,,,,,,,,
"Children out of school, female (% of female primary school age)",,,,,,,,,,,,,,,,
"Children out of school, primary, female",,,,,,,,,,,,,,,,
"Children out of school, primary",,,,,,,,,,,,,,,,
"Adjusted net enrollment rate, primary, male (% of primary school age children)",,,,,,,,,,,,,,,,
"Adjusted net enrollment rate, primary, female (% of primary school age children)",,,,,,,,,,,,,,,,
"Adjusted net enrollment rate, primary (% of primary school age children)",,,,,,,,,,,,,,,,
"Primary education, teachers (% female)",,,,,,,,,,,,,,,,
"Primary education, teachers",,,,,,,,,,,,,,,,
Trained teachers in primary education (% of total teachers),,,,,,,,,,,,,,,,
"Trained teachers in primary education, male (% of male teachers)",,,,,,,,,,,,,,,,
"Trained teachers in primary education, female (% of female teachers)",,,,,,,,,,,,,,,,
"Repeaters, primary, total (% of total enrollment)",,,,,,,,,,,,,,,,
"Repeaters, primary, male (% of male enrollment)",,,,,,,,,,,,,,,,
"Repeaters, primary, female (% of female enrollment)",,,,,,,,,,,,,,,,
"Persistence to last grade of primary, total (% of cohort)",,,,,,,,,,,,,,,,
"Persistence to last grade of primary, male (% of cohort)",,,,,,,,,,,,,,,,
"Persistence to last grade of primary, female (% of cohort)",,,,,,,,,,,,,,,,
"Persistence to grade 5, total (% of cohort)",,,,,,,,,,,,,,,,
"Persistence to grade 5, male (% of cohort)",,,,,,,,,,,,,,,,
"Persistence to grade 5, female (% of cohort)",,,,,,,,,,,,,,,,
"School enrollment, primary, private (% of total primary)",,,,,,,,,,,,,,,,
"Over-age students, primary (% of enrollment)",,,,,,,,,,,,,,,,
"Over-age students, primary, male (% of male enrollment)",,,,,,,,,,,,,,,,
"Over-age students, primary, female (% of female enrollment)",,,,,,,,,,,,,,,,
Net intake rate in grade 1 (% of official school-age population),,,,,,,,,,,,,,,,
"Net intake rate in grade 1, male (% of official school-age population)",,,,,,,,,,,,,,,,
"Net intake rate in grade 1, female (% of official school-age population)",,,,,,,,,,,,,,,,
"School enrollment, primary, male (% net)",,,,,,,,,,,,,,,,
"School enrollment, primary, female (% net)",,,,,,,,,,,,,,,,
"School enrollment, primary (% net)",,,,,,,,,,,,,,,,
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",,,,,,,,,,,,,,,,
"Gross intake ratio in first grade of primary education, male (% of relevant age group)",,,,,,,,,,,,,,,,
"Gross intake ratio in first grade of primary education, female (% of relevant age group)",,,,,,,,,,,,,,,,
"School enrollment, primary, male (% gross)",,,,,,,,,,,,,,,,
"School enrollment, primary, female (% gross)",,,,,,,,,,,,,,,,
"School enrollment, primary (% gross)",,,,,,,,,,,,,,,,
"Pupil-teacher ratio, primary",,,,,,,,,,,,,,,,
"Primary education, pupils (% female)",,,,,,,,,,,,,,,,
"Primary education, pupils",,,,,,,,,,,,,,,,
"Primary education, duration (years)",,,,,,,,,,,,,,,,
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",,50.03291,,,,,,,,,,,,,,
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",,50.70204,,,,,,,,,,,,,,
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",,49.45998,,,,,,,,,,,,,,
"Primary completion rate, total (% of relevant age group)",,,,,,,,,,,,,,,,
"Primary completion rate, male (% of relevant age group)",,,,,,,,,,,,,,,,
"Primary completion rate, female (% of relevant age group)",,,,,,,,,,,,,,,,
Primary school starting age (years),,,,,,,,,,,,,,,,
Trained teachers in preprimary education (% of total teachers),,,,,,,,,,,,,,,,
"Trained teachers in preprimary education, male (% of male teachers)",,,,,,,,,,,,,,,,
